#F EADL97_BindingEnergies.dat
#U00 This file is a conversion to specfile format of
#U01 directly extracted EADL97 binding energiess
#U02 to simplify its use with the fisx and PyMca software packages.
#U03
#U04 Neither those packages or their author(s) claim any ownership of
#U05 the data and they do not warrant the integrity of the data following 
#U07 the conversion process.
#U06
#U07 EADL itself can be found at:
#U08           http://www-nds.iaea.org/epdl97/libsall.htm
#U09 The code used to generate this file has been:
#U10 GenerateEADLBindingEnergies.py
#U11
#U12 The proper way to quote these data is:
#U13 D.E. Cullen, et al., "Tables and Graphs of Atomic Subshell and 
#U14 Relaxation Data Derived from the LLNL Evaluated Atomic Data Library
#U15 (EADL), Z = 1 - 100," Lawrence Livermore National Laboratory, UCRL-50400,
#U16  Vol. 30, October 1991
#U17 The author of these data, D.E. Cullen, has stated that redistribution of the
#U18 data is permitted provided the previous credits are maintained.
#U19 

#S 1 Binding energies in keV
#N 40
#L Z  K(1s1/2)  L1(2s1/2)  L2(2p1/2)  L3(2p3/2)  M1(3s1/2)  M2(3p1/2)  M3(3p3/2)  M4(3d3/2)  M5(3d5/2)  N1(4s1/2)  N2(4p1/2)  N3(4p3/2)  N4(4d3/2)  N5(4d5/2)  N6(4f5/2)  N7(4f7/2)  O1(5s1/2)  O2(5p1/2)  O3(5p3/2)  O4(5d3/2)  O5(5d5/2)  O6(5f5/2)  O7(5f7/2)  O8(5g7/2)  O9(5g9/2)  P1(6s1/2)  P2(6p1/2)  P3(6p3/2)  P4(6d3/2)  P5(6d5/2)  P6(6f5/2)  P7(6f7/2)  P8(6g7/2)  P9(6g9/2)  P10(6h9/2)  P11(6h11/2)  Q1(7s1/2)  Q2(7p1/2)  Q3(7p3/2)
11  1.0640000E+00  6.4480000E-02  3.6420000E-02  3.6220000E-02  5.1500000E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
12  1.2945000E+00  8.9460000E-02  5.6550000E-02  5.6240000E-02  6.8900000E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
13  1.5499000E+00  1.1905000E-01  8.1200000E-02  8.0730000E-02  1.0160000E-02  4.8800000E-03  4.8700000E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
14  1.8285000E+00  1.5155000E-01  1.0867000E-01  1.0798000E-01  1.3630000E-02  6.5500000E-03  6.5200000E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
15  2.1304000E+00  1.8715000E-01  1.3914000E-01  1.3818000E-01  1.7210000E-02  8.3800000E-03  8.3300000E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
16  2.4559000E+00  2.2597000E-01  1.7273000E-01  1.7140000E-01  2.0950000E-02  1.0340000E-02  1.0250000E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
17  2.8049000E+00  2.6805000E-01  2.0948000E-01  2.0770000E-01  2.4840000E-02  1.2420000E-02  1.2290000E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
18  3.1776000E+00  3.1343000E-01  2.4943000E-01  2.4709000E-01  2.8920000E-02  1.4620000E-02  1.4430000E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
19  3.5833000E+00  3.7116000E-01  3.0165000E-01  2.9864000E-01  4.0500000E-02  2.3750000E-02  2.3470000E-02  0.0000000E+00  0.0000000E+00  4.2200000E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
20  4.0150000E+00  4.3411000E-01  3.5904000E-01  3.5520000E-01  5.3160000E-02  3.4010000E-02  3.3600000E-02  0.0000000E+00  0.0000000E+00  5.4500000E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
