#F EADL97_BindingEnergies.dat
#U00 This file is a conversion to specfile format of
#U01 directly extracted EADL97 binding energiess
#U02 to simplify its use with the fisx and PyMca software packages.
#U03
#U04 Neither those packages or their author(s) claim any ownership of
#U05 the data and they do not warrant the integrity of the data following 
#U07 the conversion process.
#U06
#U07 EADL itself can be found at:
#U08           http://www-nds.iaea.org/epdl97/libsall.htm
#U09 The code used to generate this file has been:
#U10 GenerateEADLBindingEnergies.py
#U11
#U12 The proper way to quote these data is:
#U13 D.E. Cullen, et al., "Tables and Graphs of Atomic Subshell and 
#U14 Relaxation Data Derived from the LLNL Evaluated Atomic Data Library
#U15 (EADL), Z = 1 - 100," Lawrence Livermore National Laboratory, UCRL-50400,
#U16  Vol. 30, October 1991
#U17 The author of these data, D.E. Cullen, has stated that redistribution of the
#U18 data is permitted provided the previous credits are maintained.
#U19 

#S 1 Binding energies in keV
#N 40
#L Z  K(1s1/2)  L1(2s1/2)  L2(2p1/2)  L3(2p3/2)  M1(3s1/2)  M2(3p1/2)  M3(3p3/2)  M4(3d3/2)  M5(3d5/2)  N1(4s1/2)  N2(4p1/2)  N3(4p3/2)  N4(4d3/2)  N5(4d5/2)  N6(4f5/2)  N7(4f7/2)  O1(5s1/2)  O2(5p1/2)  O3(5p3/2)  O4(5d3/2)  O5(5d5/2)  O6(5f5/2)  O7(5f7/2)  O8(5g7/2)  O9(5g9/2)  P1(6s1/2)  P2(6p1/2)  P3(6p3/2)  P4(6d3/2)  P5(6d5/2)  P6(6f5/2)  P7(6f7/2)  P8(6g7/2)  P9(6g9/2)  P10(6h9/2)  P11(6h11/2)  Q1(7s1/2)  Q2(7p1/2)  Q3(7p3/2)
31  1.0331000E+01  1.2907000E+00  1.1504000E+00  1.1220000E+00  1.5775000E-01  1.1101000E-01  1.0728000E-01  2.7370000E-02  2.6870000E-02  1.1690000E-02  5.0000000E-03  4.8800000E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
32  1.1067000E+01  1.4023000E+00  1.2554000E+00  1.2228000E+00  1.7925000E-01  1.2938000E-01  1.2498000E-01  3.8820000E-02  3.8190000E-02  1.4780000E-02  6.5000000E-03  6.2900000E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
33  1.1829000E+01  1.5192000E+00  1.3657000E+00  1.3283000E+00  2.0202000E-01  1.4895000E-01  1.4378000E-01  5.1320000E-02  5.0550000E-02  1.7860000E-02  8.1200000E-03  7.8100000E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
34  1.2619000E+01  1.6415000E+00  1.4812000E+00  1.4386000E+00  2.2610000E-01  1.6977000E-01  1.6371000E-01  6.4910000E-02  6.3970000E-02  2.0990000E-02  9.8200000E-03  9.4000000E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
35  1.3435000E+01  1.7692000E+00  1.6021000E+00  1.5536000E+00  2.5149000E-01  1.9182000E-01  1.8478000E-01  7.9590000E-02  7.8450000E-02  2.4180000E-02  1.1590000E-02  1.1030000E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
36  1.4280000E+01  1.9023000E+00  1.7283000E+00  1.6734000E+00  2.7817000E-01  2.1512000E-01  2.0696000E-01  9.5350000E-02  9.3980000E-02  2.7440000E-02  1.3430000E-02  1.2720000E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
37  1.5159000E+01  2.0480000E+00  1.8671000E+00  1.8051000E+00  3.1318000E-01  2.4669000E-01  2.3729000E-01  1.1920000E-01  1.1757000E-01  3.6720000E-02  2.0730000E-02  1.9750000E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.0200000E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
38  1.6067000E+01  2.2001000E+00  2.0121000E+00  1.9424000E+00  3.5032000E-01  2.8032000E-01  2.6953000E-01  1.4493000E-01  1.4301000E-01  4.6390000E-02  2.8470000E-02  2.7200000E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.1000000E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
39  1.7000000E+01  2.3549000E+00  2.1597000E+00  2.0815000E+00  3.8579000E-01  3.1226000E-01  2.9992000E-01  1.6874000E-01  1.6651000E-01  5.3350000E-02  3.3710000E-02  3.2140000E-02  5.2400000E-03  5.1300000E-03  0.0000000E+00  0.0000000E+00  5.6800000E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
40  1.7962000E+01  2.5146000E+00  2.3122000E+00  2.2248000E+00  4.2206000E-01  3.4493000E-01  3.3088000E-01  1.9309000E-01  1.9049000E-01  5.9960000E-02  3.8630000E-02  3.6740000E-02  6.6700000E-03  6.5200000E-03  0.0000000E+00  0.0000000E+00  6.1200000E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
41  1.8948000E+01  2.6763000E+00  2.4666000E+00  2.3691000E+00  4.5598000E-01  3.7522000E-01  3.5928000E-01  2.1482000E-01  2.1181000E-01  6.3450000E-02  4.0580000E-02  3.8360000E-02  5.9400000E-03  5.7600000E-03  0.0000000E+00  0.0000000E+00  5.7300000E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
42  1.9965000E+01  2.8465000E+00  2.6295000E+00  2.5210000E+00  4.9409000E-01  4.0964000E-01  3.9163000E-01  2.4045000E-01  2.3700000E-01  6.9630000E-02  4.5070000E-02  4.2460000E-02  7.0000000E-03  6.7700000E-03  0.0000000E+00  0.0000000E+00  5.9700000E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
43  2.1012000E+01  3.0224000E+00  2.7979000E+00  2.6776000E+00  5.3342000E-01  4.4524000E-01  4.2495000E-01  2.6701000E-01  2.6307000E-01  7.5850000E-02  4.9600000E-02  4.6550000E-02  8.0700000E-03  7.7800000E-03  0.0000000E+00  0.0000000E+00  6.1900000E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
44  2.2087000E+01  3.2039000E+00  2.9718000E+00  2.8387000E+00  5.7403000E-01  4.8206000E-01  4.5929000E-01  2.9453000E-01  2.9005000E-01  8.2140000E-02  5.4190000E-02  5.0660000E-02  9.1500000E-03  8.7900000E-03  0.0000000E+00  0.0000000E+00  6.3800000E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
45  2.3191000E+01  3.3912000E+00  3.1515000E+00  3.0045000E+00  6.1595000E-01  5.2015000E-01  4.9466000E-01  3.2303000E-01  3.1796000E-01  8.8520000E-02  5.8840000E-02  5.4780000E-02  1.0240000E-02  9.8100000E-03  0.0000000E+00  0.0000000E+00  6.5600000E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
46  2.4321000E+01  3.5800000E+00  3.3326000E+00  3.1706000E+00  6.5494000E-01  5.5525000E-01  5.2680000E-01  3.4824000E-01  3.4251000E-01  9.1010000E-02  5.9680000E-02  5.5090000E-02  8.1400000E-03  7.6700000E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
47  2.5489000E+01  3.7834000E+00  3.5281000E+00  3.3500000E+00  7.0380000E-01  6.0019000E-01  5.6853000E-01  3.8299000E-01  3.7655000E-01  1.0161000E-01  6.8410000E-02  6.3140000E-02  1.2470000E-02  1.1860000E-02  0.0000000E+00  0.0000000E+00  6.8900000E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
48  2.6688000E+01  3.9941000E+00  3.7309000E+00  3.5354000E+00  7.5537000E-01  6.4779000E-01  6.1263000E-01  4.2006000E-01  4.1286000E-01  1.1336000E-01  7.8220000E-02  7.2190000E-02  1.7710000E-02  1.6970000E-02  0.0000000E+00  0.0000000E+00  8.2200000E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
49  2.7921000E+01  4.2138000E+00  3.9425000E+00  3.7284000E+00  8.1124000E-01  6.9962000E-01  6.6067000E-01  4.6104000E-01  4.5300000E-01  1.2790000E-01  9.0770000E-02  8.3870000E-02  2.5490000E-02  2.4580000E-02  0.0000000E+00  0.0000000E+00  1.0830000E-02  4.9100000E-03  4.5800000E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
50  2.9184000E+01  4.4403000E+00  4.1608000E+00  3.9268000E+00  8.6905000E-01  7.5336000E-01  7.1032000E-01  5.0357000E-01  4.9462000E-01  1.4281000E-01  1.0364000E-01  9.5800000E-02  3.3490000E-02  3.2390000E-02  0.0000000E+00  0.0000000E+00  1.3390000E-02  6.2800000E-03  5.7700000E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
51  3.0479000E+01  4.6737000E+00  4.3860000E+00  4.1305000E+00  9.2898000E-01  8.0916000E-01  7.6169000E-01  5.4779000E-01  5.3785000E-01  1.5827000E-01  1.1702000E-01  1.0812000E-01  4.1870000E-02  4.0560000E-02  0.0000000E+00  0.0000000E+00  1.5920000E-02  7.7300000E-03  7.0200000E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
52  3.1805000E+01  4.9142000E+00  4.6182000E+00  4.3397000E+00  9.9108000E-01  8.6709000E-01  8.1485000E-01  5.9374000E-01  5.8274000E-01  1.7433000E-01  1.3097000E-01  1.2092000E-01  5.0710000E-02  4.9180000E-02  0.0000000E+00  0.0000000E+00  1.8450000E-02  9.2300000E-03  8.3100000E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
53  3.3164000E+01  5.1619000E+00  4.8575000E+00  4.5545000E+00  1.0554000E+00  9.2720000E-01  8.6981000E-01  6.4146000E-01  6.2931000E-01  1.9104000E-01  1.4553000E-01  1.3421000E-01  6.0040000E-02  5.8260000E-02  0.0000000E+00  0.0000000E+00  2.1010000E-02  1.0770000E-02  9.6300000E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
54  3.4556000E+01  5.4169000E+00  5.1039000E+00  4.7747000E+00  1.1220000E+00  9.8947000E-01  9.2656000E-01  6.9091000E-01  6.7752000E-01  2.0837000E-01  1.6069000E-01  1.4798000E-01  6.9840000E-02  6.7780000E-02  0.0000000E+00  0.0000000E+00  2.3610000E-02  1.2350000E-02  1.0960000E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
55  3.5985000E+01  5.6849000E+00  5.3632000E+00  5.0061000E+00  1.1964000E+00  1.0595000E+00  9.9068000E-01  7.4770000E-01  7.3298000E-01  2.3186000E-01  1.8197000E-01  1.6776000E-01  8.5610000E-02  8.3240000E-02  0.0000000E+00  0.0000000E+00  3.0970000E-02  1.8270000E-02  1.6430000E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.6900000E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
56  3.7449000E+01  5.9608000E+00  5.6303000E+00  5.2434000E+00  1.2734000E+00  1.1322000E+00  1.0570000E+00  8.0664000E-01  7.9049000E-01  2.5635000E-01  2.0421000E-01  1.8835000E-01  1.0216000E-01  9.9460000E-02  0.0000000E+00  0.0000000E+00  3.8390000E-02  2.4300000E-02  2.2000000E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.6400000E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
57  3.8943000E+01  6.2418000E+00  5.9025000E+00  5.4838000E+00  1.3504000E+00  1.2048000E+00  1.1227000E+00  8.6496000E-01  8.4728000E-01  2.7913000E-01  2.2473000E-01  2.0707000E-01  1.1683000E-01  1.1376000E-01  0.0000000E+00  0.0000000E+00  4.3650000E-02  2.8330000E-02  2.5590000E-02  5.5800000E-03  5.3400000E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.1400000E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
58  4.0456000E+01  6.5133000E+00  6.1653000E+00  5.7128000E+00  1.4099000E+00  1.2599000E+00  1.1705000E+00  9.0549000E-01  8.8614000E-01  2.8501000E-01  2.2858000E-01  2.0935000E-01  1.1579000E-01  1.1244000E-01  6.8500000E-03  6.5100000E-03  4.1750000E-02  2.6350000E-02  2.3590000E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.8100000E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
59  4.2010000E+01  6.7998000E+00  6.4429000E+00  5.9544000E+00  1.4801000E+00  1.3257000E+00  1.2284000E+00  9.5598000E-01  9.3486000E-01  2.9925000E-01  2.4064000E-01  2.1956000E-01  1.2228000E-01  1.1859000E-01  7.6500000E-03  7.2400000E-03  4.3300000E-02  2.7260000E-02  2.4260000E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.8900000E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
60  4.3597000E+01  7.0933000E+00  6.7274000E+00  6.2007000E+00  1.5518000E+00  1.3928000E+00  1.2871000E+00  1.0073000E+00  9.8432000E-01  3.1358000E-01  2.5276000E-01  2.2972000E-01  1.2868000E-01  1.2462000E-01  8.3200000E-03  7.8500000E-03  4.4800000E-02  2.8120000E-02  2.4880000E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.9600000E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
61  4.5219000E+01  7.3941000E+00  7.0192000E+00  6.4519000E+00  1.6251000E+00  1.4616000E+00  1.3469000E+00  1.0596000E+00  1.0346000E+00  3.2807000E-01  2.6501000E-01  2.3987000E-01  1.3505000E-01  1.3059000E-01  8.8800000E-03  8.3500000E-03  4.6270000E-02  2.8960000E-02  2.5460000E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.0300000E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
62  4.6876000E+01  7.7023000E+00  7.3182000E+00  6.7079000E+00  1.7001000E+00  1.5319000E+00  1.4077000E+00  1.1129000E+00  1.0858000E+00  3.4277000E-01  2.7743000E-01  2.5006000E-01  1.4140000E-01  1.3652000E-01  9.3700000E-03  8.7500000E-03  4.7740000E-02  2.9790000E-02  2.6020000E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.0900000E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
63  4.8568000E+01  8.0181000E+00  7.6248000E+00  6.9688000E+00  1.7769000E+00  1.6040000E+00  1.4696000E+00  1.1672000E+00  1.1378000E+00  3.5770000E-01  2.9005000E-01  2.6030000E-01  1.4776000E-01  1.4244000E-01  9.7700000E-03  9.0800000E-03  4.9210000E-02  3.0610000E-02  2.6560000E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.1600000E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
64  5.0303000E+01  8.3498000E+00  7.9470000E+00  7.2427000E+00  1.8646000E+00  1.6869000E+00  1.5418000E+00  1.2316000E+00  1.1998000E+00  3.8139000E-01  3.1130000E-01  2.7886000E-01  1.6216000E-01  1.5630000E-01  1.7030000E-02  1.6200000E-02  5.4660000E-02  3.4830000E-02  3.0180000E-02  5.1900000E-03  4.8500000E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.7100000E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
65  5.2060000E+01  8.6731000E+00  8.2609000E+00  7.5053000E+00  1.9358000E+00  1.7534000E+00  1.5968000E+00  1.2790000E+00  1.2446000E+00  3.8839000E-01  3.1600000E-01  2.8104000E-01  1.6059000E-01  1.5429000E-01  1.0390000E-02  9.5300000E-03  5.2170000E-02  3.2240000E-02  2.7590000E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.2900000E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
66  5.3861000E+01  9.0125000E+00  8.5907000E+00  7.7810000E+00  2.0182000E+00  1.8309000E+00  1.6621000E+00  1.3366000E+00  1.2995000E+00  4.0420000E-01  3.2938000E-01  2.9156000E-01  1.6707000E-01  1.6024000E-01  1.0620000E-02  9.6600000E-03  5.3670000E-02  3.3060000E-02  2.8090000E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.3500000E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
67  5.5699000E+01  9.3602000E+00  8.9287000E+00  8.0617000E+00  2.1025000E+00  1.9104000E+00  1.7285000E+00  1.3952000E+00  1.3553000E+00  4.2035000E-01  3.4305000E-01  3.0220000E-01  1.7363000E-01  1.6623000E-01  1.0800000E-02  9.7300000E-03  5.5190000E-02  3.3890000E-02  2.8580000E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.4200000E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
